tech_id,enabled,productivity_percent,labor_substitution,resource_substitution,rationale
Accelerando,true,2.430229,4.000,4.000,Direct general-purpose breakthrough
AdAstra,true,0.607557,0.750,0.750,General economy social or governance spillover
AdministrationAlgorithms,true,1.215114,2.000,0.500,Computing AI or automation with labor emphasis
AdvancedAtomicManipulation,true,0.607557,0.250,1.000,Energy materials mining or space-industry resource emphasis
AdvancedCarbonManipulation,true,0.303779,0.125,0.500,Energy materials mining or space-industry resource emphasis
AdvancedChemicalRocketry,true,1.000000,0.125,0.125,Narrow military propulsion spacecraft or exploration spillover
AdvancedFissionSystems,true,1.215114,0.500,2.000,Energy materials mining or space-industry resource emphasis
AdvancedHeatManagementConcepts,true,0.303779,0.250,0.250,Broad secondary productivity spillover
AdvancedHydrogenContainment,true,0.911336,0.375,1.500,Energy materials mining or space-industry resource emphasis
AdvancedMagnetics,true,0.303779,0.125,0.500,Energy materials mining or space-industry resource emphasis
AdvancedMissileWarfareDoctrine,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
AdvancedNeuralNetworks,true,1.215114,2.000,0.500,Computing AI or automation with labor emphasis
AdvancedSuperconductors,true,0.607557,0.250,1.000,Energy materials mining or space-industry resource emphasis
AneutronicFusion,true,1.822672,0.750,3.000,Energy materials mining or space-industry resource emphasis
AntimatterContainment,true,0.607557,0.250,1.000,Energy materials mining or space-industry resource emphasis
AntimatterMassProduction,true,2.430229,1.000,4.000,Energy materials mining or space-industry resource emphasis
AntimatterPropulsion,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
AntimatterWeaponry,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
AppliedArtificialIntelligence,true,1.822672,3.000,0.750,Computing AI or automation with labor emphasis
ArcLasers,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
ArrivalCulture,true,0.911336,1.125,1.125,General economy social or governance spillover
ArrivalDomesticPolitics,true,0.303779,0.375,0.375,General economy social or governance spillover
ArrivalEconomics,true,0.303779,0.375,0.375,General economy social or governance spillover
ArrivalGovernance,true,1.215114,1.500,1.500,General economy social or governance spillover
ArrivalInternationalDevelopment,true,0.607557,0.750,0.750,General economy social or governance spillover
ArrivalInternationalRelations,true,0.607557,0.750,0.750,General economy social or governance spillover
ArrivalLaw,true,0.607557,0.750,0.750,General economy social or governance spillover
ArrivalMassCommunications,true,0.607557,0.750,0.750,General economy social or governance spillover
ArrivalPsychology,true,0.607557,0.750,0.750,General economy social or governance spillover
ArrivalSecurity,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
ArrivalSociology,true,0.303779,0.375,0.375,General economy social or governance spillover
AugmentedReality,true,0.303779,0.500,0.125,Computing AI or automation with labor emphasis
Biotechnology,true,0.303779,0.250,0.500,Biotechnology agriculture or life-science resource emphasis
CarbonNanotubes,true,0.607557,0.250,1.000,Energy materials mining or space-industry resource emphasis
CleanEnergy,true,1.822672,0.750,3.000,Energy materials mining or space-industry resource emphasis
ClimateChangeMitigation,true,2.430229,2.000,4.000,Biotechnology agriculture or life-science resource emphasis
Coilguns,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
ColonyHabs,true,1.215114,1.000,1.000,Broad secondary productivity spillover
Cybernetics,true,0.607557,1.000,0.250,Computing AI or automation with labor emphasis
DeepSpacePropulsionConcepts,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
DeepSystemSkywatch,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
DesignerLifeforms,true,1.215114,1.000,2.000,Biotechnology agriculture or life-science resource emphasis
DeuteriumDeuteriumFusion,true,1.822672,0.750,3.000,Energy materials mining or space-industry resource emphasis
DeuteriumHelium3Fusion,true,1.822672,0.750,3.000,Energy materials mining or space-industry resource emphasis
DeuteriumTritiumFusion,true,1.822672,0.750,3.000,Energy materials mining or space-industry resource emphasis
Diamondoids,true,0.911336,0.375,1.500,Energy materials mining or space-industry resource emphasis
DirectedEnergyWarfareDoctrine,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
DirectedSpaceResearch,true,0.607557,0.750,0.750,General economy social or governance spillover
ElectromagneticPropulsion,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
ElectrostaticPlasmaConfinement,true,0.911336,0.375,1.500,Energy materials mining or space-industry resource emphasis
ElectrostaticPropulsion,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
ElectrothermalPropulsion,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
ExtendedSpaceSurvival,true,0.607557,0.500,0.500,Broad secondary productivity spillover
FallofEmpires,true,0.607557,0.750,0.750,General economy social or governance spillover
FissionPulseDrives,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
FleetLogistics,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
FutureTechEnergy,true,2.430229,1.000,4.000,Energy materials mining or space-industry resource emphasis
FutureTechInformationScience,true,2.430229,4.000,1.000,Computing AI or automation with labor emphasis
FutureTechLifeScience,true,2.430229,2.000,4.000,Biotechnology agriculture or life-science resource emphasis
FutureTechMaterials,true,2.430229,1.000,4.000,Energy materials mining or space-industry resource emphasis
FutureTechMilitaryScience,true,2.430229,2.000,2.000,Broad secondary productivity spillover
FutureTechSocialScience,true,2.430229,3.000,3.000,General economy social or governance spillover
FutureTechSpaceScience,true,2.430229,2.000,2.000,Broad secondary productivity spillover
GasCoreFissionSystems,true,0.911336,0.375,1.500,Energy materials mining or space-industry resource emphasis
Genies,true,1.215114,1.000,2.000,Biotechnology agriculture or life-science resource emphasis
GreatNations,true,0.911336,1.125,1.125,General economy social or governance spillover
HeavyPulsedPropulsion,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
HighEnergyElectromagneticPropulsion,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
HighEnergyLasers,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
