feature_id,category,feature,vanilla_1_0_32,verdiss_0_2,maintained_main_0_2_5,current_mod,config_keys,implementation_refs,status,notes
lifecycle_global,lifecycle,Global lifecycle toggle,Vanilla code always active,No runtime guard,Runtime Main.enabled guard,Global and per-feature gate returns to vanilla when disabled,enabled,Main.cs:Main,implemented,Weight-file changes require restart
investment_points,economy,Base Investment Points,Vanilla nonlinear GDP-derived score,GDP divided by 100B with 70 to 100 percent low-income multiplier,Maintained small-country crutch curve,Preserved Verdiss formula with validation,investment.enabled;investment.gdpPerInvestmentPointBillions;investment.lowIncomeMultiplierAtZero;investment.lowIncomeThreshold,InvestmentPointsPatch,preserved,Defaults reach full output at 15000 per-capita GDP
economy_growth,economy,Economy GDP gain,Vanilla per-capita growth formula,330M total GDP formula with education government cohesion income decay and special regions,Rebalanced total-GDP formula,Preserved Verdiss base formula with core-only region sequence and new technology abundance terms,economy.enabled;economy.baseGainBillions;economy.educationPerLevel;economy.governmentPerLevel;economy.cohesionCenter;economy.cohesionPeak;economy.cohesionPenaltyPerPoint;economy.pcgdpScale;economy.pcgdpDecay;economy.pcgdpDecayInterval;economy.firstCoreRegionBonus;economy.secondCoreRegionBonus;economy.thirdCoreRegionBonus;economy.laterCoreRegionBonus,EconomyGrowthPatch,updated,Faction projects are deliberately excluded
economy_technology,economy,Weighted global technology growth,Vanilla project bonuses only,Unstable local technology additions,No weighted global-tech system,Compounded CSV weights capped at 4x,technology.enabled;technology.maximumMultiplier,EconomyGrowthPatch;Core/TechWeightCatalog.cs,implemented,All Energy and Materials technologies plus selected general-purpose technologies
economy_resources,economy,Resource abundance growth,No GDP-relative saturating abundance curve,Resource regions shared a fixed special-region bonus,Resource regions use fixed linear bonuses,GDP-relative saturating resource curve with unrest and technology fading,abundance.enabled;abundance.referenceGdpPerResourceRegionBillions;abundance.minimumGdpBillions;abundance.resourceMaximumBonus;abundance.resourceCurveExponent;abundance.maximumUnrest;abundance.unrestExponent;abundance.technologyFadeExponent,EconomyGrowthPatch,implemented,Zero resource regions always give zero
economy_land,economy,Land abundance growth,No population-density growth curve,No land-density term,No land-density term,Saturating inverse-density curve with unrest and technology fading,abundance.enabled;abundance.referenceDensity;abundance.minimumDensity;abundance.landMaximumBonus;abundance.landCurveExponent;abundance.maximumUnrest;abundance.unrestExponent;abundance.technologyFadeExponent,EconomyGrowthPatch,implemented,Zero and near-zero density remain finite
inequality_economy,inequality,Economy inequality change,Vanilla fixed priority effect,Population-scaled positive delta with resource modifiers,Population-scaled positive delta,Preserved raw 0.2 delta passed through a smooth directional transform,inequality.enabled;inequality.economyEnabled;inequality.minimum;inequality.neutral;inequality.maximum;inequality.exponent;inequality.economyPopulationDivisor;inequality.economyFirstResourceMultiplier;inequality.economySecondResourceMultiplier;inequality.economyThirdResourceMultiplier;inequality.economyLaterResourceMultiplier,EconomyInequalityPatch,updated,Continuous from 2x at inequality 1 to 0x at inequality 9
inequality_welfare,inequality,Welfare inequality change,Vanilla fixed priority effect,Population-scaled negative delta,Maintained branch uses a separate boundary adjustment,Preserved raw 0.2 delta passed through a smooth directional transform,inequality.enabled;inequality.welfareEnabled;inequality.minimum;inequality.neutral;inequality.maximum;inequality.exponent;inequality.welfarePopulationDivisor,WelfareInequalityPatch,updated,Continuous from 0x at inequality 1 to 2x at inequality 9
inequality_spoils,inequality,Spoils inequality change,Vanilla fixed priority effect,Population-scaled positive delta with resource modifiers,Population-scaled positive delta with a known missing baseline defect,Preserved raw 0.2 delta passed through a smooth directional transform,inequality.enabled;inequality.spoilsEnabled;inequality.minimum;inequality.neutral;inequality.maximum;inequality.exponent;inequality.spoilsPopulationDivisor;inequality.spoilsFirstResourceMultiplier;inequality.spoilsSecondResourceMultiplier;inequality.spoilsThirdResourceMultiplier;inequality.spoilsLaterResourceMultiplier,SpoilsInequalityPatch,updated,Continuous from 2x at inequality 1 to 0x at inequality 9
inequality_events,inequality,Event-driven inequality,Event-specific changes,Unchanged,Unchanged,Vanilla,inequality.enabled,none,deferred,Inventory and soft-clamping are a follow-up slice
