site,status,geological_role,water_low,water_high,volatiles_low,volatiles_high,metals_low,metals_high,nobles_low,nobles_high,fissiles_low,fissiles_high
Mare Imbrium,existing,Low-Ti mare and Procellarum/KREEP influence,0,0,0,0,3,27,0.0625,1.1875,0.00125,0.02875
Peary Crater,existing,Sparse north-polar ice,0.25,4.75,0.05,1.15,1.5,14.5,0,0,0,0
D'Alembert Crater,existing,Feldspathic farside highlands,0,0,0,0,1.75,17.25,0,0,0,0
Copernicus Crater,existing,Excavated Imbrium/KREEP material,0,0,0,0,2.75,26.25,0.025,0.575,0.00125,0.02875
Mare Tranquillitatis,existing,Best-established high-Ti mare,0,0,0,0,3.5,32.5,0.5,6.5,0,0
Korolev Crater,existing,Farside highlands/basin material,0,0,0,0,1.75,17.25,0,0,0,0
Tycho Crater,existing,Young feldspathic highland ejecta,0,0,0,0,2,19,0,0,0,0
Shackleton Crater,existing,"South-polar cold trap, less constrained than Cabeus",0.75,10.25,0.2,3.1,1.25,12.75,0,0,0,0
Tsiolkovskiy Crater,existing,Farside mare basalt floor,0,0,0,0,2.75,26.25,0.0625,1.1875,0,0
Plato Crater,new,Dark basalt-flooded near-side crater floor,0,0,0,0,3,28,0.025,0.575,0,0
Humboldt Crater,new,Floor-fractured eastern-limb crater exposing mixed highland material,0,0,0,0,2,20,0.0125,0.2875,0,0
Clavius Crater,new,Ancient heavily cratered southern highlands,0,0,0,0,1.75,17.25,0,0,0,0
Aristarchus Plateau,new,Fe/Ti-rich pyroclastic deposit and KREEP vicinity,0,0,0.025,0.575,4,36,0.25,3.75,0.00125,0.03375
Oceanus Procellarum,new,Mare basalt in the Procellarum KREEP Terrane,0,0,0,0,3.5,32.5,0.125,2.375,0.00125,0.03375
Mare Serenitatis,new,High-Ti mare basalt,0,0,0,0,3.5,32.5,0.375,5.125,0.00025,0.01075
Mare Crisium,new,Very-low-Ti mare basalt,0,0,0,0,3,28,0.025,0.575,0,0
Marius Hills,new,Volcanic and pyroclastic province,0,0,0.0125,0.2875,3.5,32.5,0.0625,1.1875,0.00075,0.02225
South Pole-Aitken Basin,new,Mafic lower-crust/basin material with local Th,0,0,0,0,2.5,24.5,0.025,0.575,0.00025,0.01075
Schrödinger Basin,new,Mafic basin and localized pyroclastic material,0,0,0.0125,0.2875,3,29,0.0625,1.1875,0.00025,0.01075
Compton-Belkovich Volcanic Complex,new,Silicic thorium anomaly,0,0,0,0,2,20,0.0125,0.2875,0.005,0.095
Gagarin Crater,new,Large central-farside highlands crater,0,0,0,0,1.75,17.25,0,0,0,0
Orientale Basin,new,Young multi-ring basin and mixed ejecta,0,0,0,0,2.25,22.75,0.025,0.575,0,0
Mare Moscoviense,new,Largest farside mare deposit,0,0,0,0,3,29,0.125,2.375,0,0
Gruithuisen Domes,new,Silicic volcanic domes,0,0,0,0,2,20,0.0125,0.2875,0.00075,0.02225
Mons Rümker,new,Broad volcanic-dome complex,0,0,0.0125,0.2875,3.5,32.5,0.0625,1.1875,0.00075,0.02225
Hadley-Apennine,new,Apollo 15 mare/highland/KREEP boundary,0,0,0,0,2.75,27.25,0.025,0.675,0.00075,0.02225
Taurus-Littrow,new,Apollo 17 high-Ti pyroclastic deposit,0,0,0.025,0.575,4,36,0.5,6.5,0.00025,0.01075
Kepler Crater,new,Procellarum impact excavation,0,0,0,0,2.75,26.25,0.025,0.575,0.00125,0.02875
Rima Bode,new,Regional Fe/Ti-rich pyroclastic deposit,0,0,0.0125,0.2875,3.5,32.5,0.125,2.375,0.00075,0.02225
Reiner Gamma,new,High-priority lunar swirl over mare material,0,0,0,0,3,28,0.025,0.575,0,0
Cabeus B Crater,new,Large south-polar permanently shadowed region,0.25,6.75,0.05,1.35,1,11,0,0,0,0
Malapert C Crater,new,South-polar crater adjoining a large permanently shadowed region,0.25,5.75,0.05,1.15,1,11,0,0,0,0
Wiechert U Crater,new,South-polar crater with a mapped permanently shadowed region,0.05,2.95,0.0125,0.5875,1,11,0,0,0,0
Lovelace E Crater,new,North-polar crater with a mapped permanently shadowed region,0.1,3.9,0.025,0.775,1,11,0,0,0,0
Nansen A Crater,new,North-polar crater with a mapped permanently shadowed region,0.1,3.9,0.025,0.775,1,11,0,0,0,0
